Species,Ne
Acinetobacter baumannii,356772759.866
Acinetobacter pittii,361121949.6
Actinobacillus pleuropneumoniae,283128807.524
Aeromonas hydrophila,NA
Aggregatibacter actinomycetemcomitans,217149092.61
Bacillus amyloliquefaciens,296159865.002
Bacillus anthracis,NA
Bacillus cereus,328044540.254
Bacillus coagulans,252290435.534
Bacillus licheniformis,NA
Bacillus methylotrophicus,270532892.684
Bacillus pumilus,302067691.242
Bacillus subtilis,376949135.098
Bacillus thuringiensis,301027710.275
Bacteroides fragilis,292282298.076
Bifidobacterium bifidum,278346923.465
Bifidobacterium breve,265060817.472
Bifidobacterium longum,287459624.45
Bordetella bronchiseptica,365968148.193
Bordetella pertussis,NA
Borrelia burgdorferi,263747847.523
Brachyspira hyodysenteriae,345915110.594
Bradyrhizobium japonicum,388936429.001
Brucella abortus,NA
Brucella melitensis,NA
Brucella suis,NA
Burkholderia cenocepacia,380911107.943
Burkholderia cepacia,397229411.889
Burkholderia multivorans,368706745.678
Burkholderia pseudomallei,344825604.286
Burkholderia stagnalis,353070482.914
Burkholderia territorii,366329337.616
Burkholderia ubonensis,358493835.862
Burkholderia vietnamiensis,355545572.315
Campylobacter fetus,268073664.402
Campylobacter jejuni,349310799.923
Chlamydia psittaci,296083306.766
Chlamydia trachomatis,151274593.032
Citrobacter freundii,332330898.38
Clostridium botulinum,388174213.063
Clostridium perfringens,322400673.842
Comamonas testosteroni,313265364.866
Corynebacterium diphtheriae,259559801.722
Corynebacterium pseudotuberculosis,254633849.572
Dehalococcoides mccartyi,230701029.171
Enterobacter aerogenes,338041563.813
Enterobacter asburiae,349857002.227
Enterobacter cloacae,367579432.402
Enterobacter hormaechei,324803371.311
Enterococcus faecalis,331948991.809
Enterococcus faecium,288396669.257
Escherichia albertii,285455880.27
Escherichia coli,374704250.0
Fusobacterium nucleatum,359265224.485
Gallibacterium anatis,327845116.696
Gardnerella vaginalis,326437522.37
Haemophilus influenzae,327093375.977
Haemophilus parainfluenzae,335885588.64
Helicobacter pylori,248034472.453
Kingella kingae,222288436.575
Klebsiella oxytoca,322068368.813
Klebsiella pneumoniae,344825604.286
Lactobacillus casei,278134103.642
Lactobacillus crispatus,280799939.284
Lactobacillus delbrueckii,213999910.413
Lactobacillus fermentum,230801419.77
Lactobacillus helveticus,180150271.999
Lactobacillus kunkeei,311138191.696
Lactobacillus paracasei,275975966.914
Lactobacillus plantarum,243786124.441
Lactobacillus rhamnosus,307868049.598
Lactococcus lactis,307315267.067
Legionella pneumophila,272602583.72
Leptospira borgpetersenii,216680883.99
Leptospira interrogans,280221475.806
Leptospira kirschneri,261292317.713
Leptospira noguchii,284074545.843
Leptospira santarosai,237171720.777
Leptospira weilii,234803172.636
Leuconostoc mesenteroides,239632401.109
Listeria monocytogenes,336435074.692
Methanosarcina mazei,221614517.679
Microcystis aeruginosa,249573446.4
Moraxella catarrhalis,222547019.56
Morganella morganii,334498021.085
Mycobacterium abscessus,306625653.043
Mycobacterium africanum,NA
Mycobacterium bovis,NA
Mycobacterium tuberculosis,NA
Mycoplasma pneumoniae,NA
Neisseria gonorrhoeae,199155994.956
Neisseria meningitidis,262635745.993
Oenococcus oeni,249813968.635
Paenibacillus polymyxa,276490344.47
Pasteurella multocida,325475224.774
Pectobacterium carotovorum,339378354.414
Peptoclostridium difficile,309578477.393
Porphyromonas gingivalis,232136987.767
Prochlorococcus marinus,NA
Propionibacterium freudenreichii,329127506.79
Proteus mirabilis,332521286.829
Pseudomonas aeruginosa,388610515.473
Pseudomonas amygdali,320248320.696
Pseudomonas chlororaphis,401252450.118
Pseudomonas denitrificans,354378285.822
Pseudomonas fluorescens,387405817.144
Pseudomonas putida,395586369.255
Pseudomonas stutzeri,NA
Pseudomonas syringae,381638515.519
Salinispora arenicola,307448685.264
Salinispora pacifica,326979055.987
Salmonella enterica,336325427.664
Serratia marcescens,368370722.171
Staphylococcus aureus,375502624.401
Staphylococcus epidermidis,332521286.829
Staphylococcus haemolyticus,336832743.435
Staphylococcus warneri,312987922.689
Stenotrophomonas maltophilia,405279785.492
Streptococcus agalactiae,277467723.873
Streptococcus anginosus,279614793.561
Streptococcus dysgalactiae,259467333.078
Streptococcus equi,282149908.049
Streptococcus gordonii,NA
Streptococcus mitis,NA
Streptococcus mutans,256411874.098
Streptococcus oralis,NA
Streptococcus parasanguinis,308140813.072
Streptococcus pneumoniae,272222575.423
Streptococcus pseudopneumoniae,336029139.136
Streptococcus pyogenes,261648527.972
Streptococcus salivarius,NA
Streptococcus sanguinis,NA
Streptococcus sobrinus,227273811.911
Streptococcus suis,304950412.087
Tropheryma whipplei,NA
Vibrio alginolyticus,303812212.199
Vibrio campbellii,NA
Vibrio cholerae,319253964.192
Vibrio cyclitrophicus,293826719.873
Vibrio harveyi,318391066.33
Vibrio parahaemolyticus,291675350.108
Vibrio splendidus,343548450.372
Vibrio vulnificus,299536873.316
Xanthomonas axonopodis,309465264.798
Xanthomonas campestris,374403124.416
Xanthomonas citri,279049418.238
Xanthomonas oryzae,242068882.953
Xanthomonas perforans,NA
Xylella fastidiosa,191043298.703
Yersinia enterocolitica,313821942.543
Yersinia frederiksenii,338802530.672
Yersinia pestis,NA
Yersinia pseudotuberculosis,258350957.885
